[15:38:55] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[15:41:11] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[15:41:11] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[15:41:11] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[15:41:11] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[15:41:11] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[15:41:11] [main/INFO]: Reloading ResourceManager: Default
[15:41:18] [Worker-Main-2/INFO]: Loaded 7 recipes
[15:41:35] [Worker-Main-2/INFO]: Loaded 927 advancements
[15:41:52] [Server thread/INFO]: Starting minecraft server version 1.16.5
[15:41:52] [Server thread/WARN]: To start the server with more ram, launch it as "java -Xmx1024M -Xms1024M -jar minecraft_server.jar"
[15:41:52] [Server thread/INFO]: Loading properties
[15:41:52] [Server thread/INFO]: Default game type: SURVIVAL
[15:41:52] [Server thread/INFO]: Generating keypair
[15:41:52] [Server console handler/ERROR]: Exception handling console input
java.io.IOException: The handle is invalid
	at java.io.FileInputStream.readBytes(Native Method) ~[?:1.8.0_281]
	at java.io.FileInputStream.read(Unknown Source) ~[?:1.8.0_281]
	at java.io.BufferedInputStream.read1(Unknown Source) ~[?:1.8.0_281]
	at java.io.BufferedInputStream.read(Unknown Source) ~[?:1.8.0_281]
	at sun.nio.cs.StreamDecoder.readBytes(Unknown Source) ~[?:1.8.0_281]
	at sun.nio.cs.StreamDecoder.implRead(Unknown Source) ~[?:1.8.0_281]
	at sun.nio.cs.StreamDecoder.read(Unknown Source) ~[?:1.8.0_281]
	at java.io.InputStreamReader.read(Unknown Source) ~[?:1.8.0_281]
	at java.io.BufferedReader.fill(Unknown Source) ~[?:1.8.0_281]
	at java.io.BufferedReader.readLine(Unknown Source) ~[?:1.8.0_281]
	at java.io.BufferedReader.readLine(Unknown Source) ~[?:1.8.0_281]
	at zg$1.run(SourceFile:95) [server%20(1).jar:?]
[15:41:54] [Server thread/INFO]: Starting Minecraft server on *:25565
[15:41:56] [Server thread/INFO]: Using default channel type
[15:42:02] [Server thread/INFO]: Preparing level "world"
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:58] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:58] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:58] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:58] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:58] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:58] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:58] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:58] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:58] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:58] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:58] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:58] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:58] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:58] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:58] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:58] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:59] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:35:59] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:36:00] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:36:00] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:36:01] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:36:01] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:36:02] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:36:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:36:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:36:05] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:36:05] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:36:05] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:36:05] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:36:05] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[15:36:06] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[15:36:06] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[15:36:08] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[15:36:08] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[15:36:08] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[15:36:08] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[15:36:09] [Worker-Main-3/INFO]: Preparing spawn area: 3%
[15:36:09] [Worker-Main-3/INFO]: Preparing spawn area: 3%
[15:36:10] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[15:36:10] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[15:36:11] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[15:36:11] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[15:36:12] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[15:36:12] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[15:36:13] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[15:36:13] [Worker-Main-3/INFO]: Preparing spawn area: 5%
[15:36:14] [Worker-Main-3/INFO]: Preparing spawn area: 6%
[15:36:14] [Worker-Main-3/INFO]: Preparing spawn area: 7%
[15:36:16] [Worker-Main-3/INFO]: Preparing spawn area: 7%
[15:36:16] [Worker-Main-3/INFO]: Preparing spawn area: 7%
[15:36:16] [Worker-Main-3/INFO]: Preparing spawn area: 7%
[15:36:16] [Worker-Main-3/INFO]: Preparing spawn area: 7%
[15:36:17] [Worker-Main-3/INFO]: Preparing spawn area: 9%
[15:36:17] [Worker-Main-3/INFO]: Preparing spawn area: 9%
[15:36:18] [Worker-Main-3/INFO]: Preparing spawn area: 9%
[15:36:18] [Worker-Main-3/INFO]: Preparing spawn area: 9%
[15:36:19] [Worker-Main-3/INFO]: Preparing spawn area: 10%
[15:36:20] [Worker-Main-3/INFO]: Preparing spawn area: 11%
[15:36:20] [Worker-Main-3/INFO]: Preparing spawn area: 11%
[15:36:20] [Worker-Main-3/INFO]: Preparing spawn area: 11%
[15:36:21] [Worker-Main-3/INFO]: Preparing spawn area: 11%
[15:36:21] [Worker-Main-3/INFO]: Preparing spawn area: 12%
[15:36:22] [Worker-Main-3/INFO]: Preparing spawn area: 13%
[15:36:22] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[15:36:23] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[15:36:23] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[15:36:26] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[15:36:26] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[15:36:26] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[15:36:26] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[15:36:26] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[15:36:26] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[15:36:27] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[15:36:29] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[15:36:29] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[15:36:29] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[15:36:29] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[15:36:29] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[15:36:30] [Worker-Main-3/INFO]: Preparing spawn area: 20%
[15:36:30] [Worker-Main-3/INFO]: Preparing spawn area: 22%
[15:36:31] [Worker-Main-3/INFO]: Preparing spawn area: 22%
[15:36:31] [Worker-Main-3/INFO]: Preparing spawn area: 22%
[15:36:32] [Worker-Main-3/INFO]: Preparing spawn area: 22%
[15:36:32] [Worker-Main-3/INFO]: Preparing spawn area: 24%
[15:36:33] [Worker-Main-3/INFO]: Preparing spawn area: 25%
[15:36:33] [Worker-Main-3/INFO]: Preparing spawn area: 26%
[15:36:34] [Worker-Main-3/INFO]: Preparing spawn area: 27%
[15:36:34] [Worker-Main-3/INFO]: Preparing spawn area: 27%
[15:36:35] [Worker-Main-3/INFO]: Preparing spawn area: 28%
[15:36:35] [Worker-Main-3/INFO]: Preparing spawn area: 30%
[15:36:36] [Worker-Main-3/INFO]: Preparing spawn area: 30%
[15:36:36] [Worker-Main-3/INFO]: Preparing spawn area: 31%
[15:36:37] [Worker-Main-3/INFO]: Preparing spawn area: 31%
[15:36:37] [Worker-Main-3/INFO]: Preparing spawn area: 31%
[15:36:38] [Worker-Main-3/INFO]: Preparing spawn area: 31%
[15:36:38] [Worker-Main-3/INFO]: Preparing spawn area: 31%
[15:36:39] [Worker-Main-3/INFO]: Preparing spawn area: 31%
[15:36:39] [Worker-Main-3/INFO]: Preparing spawn area: 33%
[15:36:40] [Worker-Main-3/INFO]: Preparing spawn area: 33%
[15:36:40] [Worker-Main-3/INFO]: Preparing spawn area: 34%
[15:36:41] [Worker-Main-3/INFO]: Preparing spawn area: 34%
[15:36:41] [Worker-Main-3/INFO]: Preparing spawn area: 35%
[15:36:42] [Worker-Main-3/INFO]: Preparing spawn area: 36%
[15:36:43] [Worker-Main-3/INFO]: Preparing spawn area: 38%
[15:36:43] [Worker-Main-3/INFO]: Preparing spawn area: 38%
[15:36:43] [Worker-Main-3/INFO]: Preparing spawn area: 38%
[15:36:44] [Worker-Main-3/INFO]: Preparing spawn area: 38%
[15:36:44] [Worker-Main-3/INFO]: Preparing spawn area: 38%
[15:36:45] [Worker-Main-3/INFO]: Preparing spawn area: 38%
[15:36:45] [Worker-Main-3/INFO]: Preparing spawn area: 41%
[15:36:46] [Worker-Main-3/INFO]: Preparing spawn area: 42%
[15:36:46] [Worker-Main-3/INFO]: Preparing spawn area: 42%
[15:36:47] [Worker-Main-3/INFO]: Preparing spawn area: 42%
[15:36:47] [Worker-Main-3/INFO]: Preparing spawn area: 42%
[15:36:48] [Worker-Main-3/INFO]: Preparing spawn area: 42%
[15:36:48] [Worker-Main-3/INFO]: Preparing spawn area: 42%
[15:36:49] [Worker-Main-3/INFO]: Preparing spawn area: 43%
[15:36:49] [Worker-Main-3/INFO]: Preparing spawn area: 43%
[15:36:50] [Worker-Main-3/INFO]: Preparing spawn area: 44%
[15:36:50] [Worker-Main-3/INFO]: Preparing spawn area: 46%
[15:36:51] [Worker-Main-3/INFO]: Preparing spawn area: 47%
[15:36:51] [Worker-Main-3/INFO]: Preparing spawn area: 48%
[15:36:52] [Worker-Main-3/INFO]: Preparing spawn area: 49%
[15:36:52] [Worker-Main-3/INFO]: Preparing spawn area: 49%
[15:36:53] [Worker-Main-3/INFO]: Preparing spawn area: 52%
[15:36:53] [Worker-Main-3/INFO]: Preparing spawn area: 52%
[15:36:54] [Worker-Main-3/INFO]: Preparing spawn area: 53%
[15:36:54] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[15:36:55] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[15:36:55] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[15:36:56] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[15:36:56] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[15:36:57] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[15:36:57] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[15:37:01] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[15:37:01] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[15:37:01] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[15:37:01] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[15:37:01] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[15:37:01] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[15:37:01] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[15:37:01] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[15:37:02] [Worker-Main-3/INFO]: Preparing spawn area: 60%
[15:37:02] [Worker-Main-3/INFO]: Preparing spawn area: 61%
[15:37:03] [Worker-Main-3/INFO]: Preparing spawn area: 62%
[15:37:03] [Worker-Main-3/INFO]: Preparing spawn area: 62%
[15:37:04] [Worker-Main-3/INFO]: Preparing spawn area: 62%
[15:37:04] [Worker-Main-3/INFO]: Preparing spawn area: 63%
[15:37:05] [Worker-Main-3/INFO]: Preparing spawn area: 64%
[15:37:05] [Worker-Main-3/INFO]: Preparing spawn area: 66%
[15:37:06] [Worker-Main-3/INFO]: Preparing spawn area: 66%
[15:37:06] [Worker-Main-3/INFO]: Preparing spawn area: 66%
